authorMeta/fans,authorMeta/heart,authorMeta/verified,videoMeta/duration,playCount,diggCount,shareCount,commentCount,hashtags/0/name,videoMeta/coverUrl,hashtags_cleaned
14200000,231900000,True,104,2000000,272500,1079,591,devoltaaos15,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owEEILNfUEAKCaGKIeglASAgIOpfikJlPD3Arv?lk3s=b59d6b55&x-expires=1725267600&x-signature=i4DDUY42RSUpHTm3%2Bf7d7IPzEh8%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,122,10400000,1100000,15300,3659,niunamas,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oEzAigAiaEA3BKAorNBLjhIQMaEZBfLBEL8zua?lk3s=b59d6b55&x-expires=1725267600&x-signature=lIA8h7bteI25IITKB9bCzWZIb3U%3D&shp=b59d6b55&shcp=-,
39700000,1000000000,True,47,9700000,1300000,188800,17000,supacell,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast8-p-0068-tx2/3a07cf01e93f45de8e4e97ce0f611bb5_1723557648?lk3s=b59d6b55&x-expires=1725267600&x-signature=MeeUKxvhYLloNdqs5Mqr6qnIyns%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,72,6100000,690500,38600,2958,wonderland,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oM5cqQGAlEaBiBWAACHpAIsjiUvAZu2nSJi9P?lk3s=b59d6b55&x-expires=1725267600&x-signature=I1SKx3ZUCD0ZjrywEnV68TITAmo%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,82,3100000,247800,2994,1412,unafamiliaatipica,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oAML4iBKEBzCRsBPJoAoAE62EfgSTWgi8EIAhA?lk3s=b59d6b55&x-expires=1725267600&x-signature=Xg%2FQX0JQe9ZiJ3QucytqZBLd%2B7E%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,22,2300000,369300,9612,2453,besoskitty,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owqlAUiptQSp8iBAiiAiHYZlDAAAJIaPSElG9?lk3s=b59d6b55&x-expires=1725267600&x-signature=8G5W6V4Mo3Rg4tzUqoJ0f9GlfvQ%3D&shp=b59d6b55&shcp=-,
10400000,304100000,True,10,3800000,425600,12300,3427,lovelyrunner,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/osIucCBDEiA6IRBV9AiIAPBAAzZTfKBrzZQCw9?lk3s=b59d6b55&x-expires=1725267600&x-signature=LunH%2Ft6OI4ATbnM8o9wTb%2FAt8hU%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,114,7300000,994800,40400,5289,elamorvuelveacasa,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/osNfw1CKI0OeAL5FFAIIAAK9c7AfR8GeSQhesQ?lk3s=b59d6b55&x-expires=1725267600&x-signature=xQVIuN7iRHVyBbYoewfuyxlVlqQ%3D&shp=b59d6b55&shcp=-,
1100000,20000000,True,41,2600000,484600,10700,1658,ウルトラマンライジング,https://p16-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast8-p-0068-tx2/o8AvlifRA1uK7B35IJviXLA1BYiBPzRKAAB8Ez?lk3s=b59d6b55&x-expires=1725267600&x-signature=eTNlEiOqX%2BDkIFtXw55rxugHdrM%3D&shp=b59d6b55&shcp=-,
39700000,1000000000,True,58,91900,9050,34,127,incoming,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oADXeEErIKrkGPARl8edkQA8NeAAFMjtpAQAAH?lk3s=81f88b70&x-expires=1725267600&x-signature=NPAUITlbZPZ1ZhpPYpIpf4Eaobw%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,19,6000000,239900,81100,6355,TheDeliverance,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o4ArlRZBi2SxyvAcAA7AHBgExDHPDtiwk4I7U?lk3s=81f88b70&x-expires=1725267600&x-signature=neJ8paAMRrze%2FB%2Bv%2Fs2o%2B2w8B8I%3D&shp=81f88b70&shcp=-,deliver
39700000,1000000000,True,2,28200,279,7,27,interviewwiththevampire,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oMGISQjYgAdbDWhaVFfNcmDClA0eaEC0rA3cAj?lk3s=81f88b70&x-expires=1725267600&x-signature=V4g6%2FmLrDxlUXJzjNWzTdc3gagY%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,8,85900,4403,74,43,emilyinparis,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/ocvATiGIAgARiw08OVltDZ4xV5AtEIAkFBHHg?lk3s=81f88b70&x-expires=1725267600&x-signature=d8%2BhvEVVrGG7X7mhBcp34fCaJnE%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,29,115300,9493,672,116,,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oQOgJiB0KBBF2IAo6RiEKMBAxATwl8AgazfhLD?lk3s=81f88b70&x-expires=1725267600&x-signature=70EE8d9MjSTQo06%2FSSkIfUzb70U%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,40,144300,16000,266,77,heartstopper,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oIMTEuXB4PAR0itgAIpDGA4AZAlb9kmy5ikmU?lk3s=81f88b70&x-expires=1725267600&x-signature=HMxMcneJxBnmxZe9uD6oYxHLjmw%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,53,33500,1267,0,17,loveisblinduk,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o0DnRGfhAcyWmFACsofCArSkE0IDaERgVnDAvb?lk3s=81f88b70&x-expires=1725267600&x-signature=dXLTioubgBZgjMRq5aCUUlU%2FeP4%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,130,63600,2757,164,40,kaos,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o8OfEYFsA3Sr3ooRDADAIT05VcmgZCDCAWE9fJ?lk3s=81f88b70&x-expires=1725267600&x-signature=hgNCJJlErwMU0EZBzkNq0M6ufYM%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,61,26100,904,9,34,austok,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o8IAQkZeBjdIrfEr3GoNcALoYAjGeGAHAovagE?lk3s=81f88b70&x-expires=1725267600&x-signature=wwJYR5M8QH98konZtLPM5W%2BFYTk%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,89,37100,763,14,55,,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oAVeXAJBzB313k2iiAAG9AEzBBkQPawwSKIgDD?lk3s=81f88b70&x-expires=1725267600&x-signature=53%2FHckDe%2BEFvE9ImO3TbP4Rby7I%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,36,47800,1488,6,27,loveisblinduk,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/occb7nAqEEyeuAADJnmCQDtC0IbmSYAfgANFDV?lk3s=81f88b70&x-expires=1725267600&x-signature=WEG5HaovfZfq0%2Fxti%2BHuIiLMm00%3D&shp=81f88b70&shcp=-,
39700000,1000000000,True,49,29700,1518,80,34,incoming,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oAoAkEIVwOGArUAfMpAtLghHeCkAGNQEUmIJte?lk3s=81f88b70&x-expires=1725267600&x-signature=MjrgDstNUdC8YpZJ59w9KVIqauI%3D&shp=81f88b70&shcp=-,
